Option,Long-Run Change in GDP,Capital Stock,Full-Time Equivalent Jobs,Wage Rate,P20,P40-60,P80-100,P99,Static 10-Year Revenue (billions),Dynamic 10-Year Revenue (billions),Y to select,is_NS
1: Lower Individual Income Tax Rates Across the Board (Lower All Rates by 10%),0.009,0.01,975398,0.001,0.007,0.014,0.027,0.037,-2257.31,-1713.77,,False
2: Lower the Top Marginal Income Tax Rate (25% Top Rate),0.011,0.003,1033707,0.002,0.002,0.002,0.008,0.023,-2209.23,-1673.87,,False
"3: Consolidate Current Brackets into Three: 10 percent, 25 percent, and 35 percent",0.013,0.014,1336191,0.001,0.01,0.024,0.039,0.054,-2694.5,-2167.24,,False
4: Reduce Employer- and Employee-Side Payroll Tax by 1 Percentage Point Split (1 Percentage Point Split),0.002,0.002,179340,0.0,0.005,0.009,0.007,0.003,-651.84,-545.44,,False
7: Make 100 Percent Bonus Depreciation Permanent,0.005,0.004,86457,0.004,0.004,0.004,0.005,0.006,-213.42,-110.19,,False
8: Implement Neutral Cost Recovery for Structures,0.012,0.023,230766,0.01,0.011,0.011,0.015,0.021,-10.35,300.98,,False
9: Cancel the Amortization of Research and Development Expenses,0.001,0.002,19550,0.001,0.001,0.001,0.001,0.002,-131.3,-107.9,,False
10: Make Section 199A Deduction Permanent,0.002,0.003,57906,0.001,0.002,0.003,0.008,0.006,-438.7,-391.2,,False
11: Lower the Corporate Tax Rate (Lower to 15%),0.005,0.01,100937,0.004,0.012,0.011,0.017,0.026,-978.94,-847.71,,False
12: Lower the Estate Tax Rate to 30 Percent,0.0005,0.001,7236,0.0005,0.0005,0.0005,0.0005,0.008,-81.94,-79.47,,False
"13: Repeal Tariffs Imposed Under Sections 232, 201, and 301",0.001,0.002,82960,0.005,0.004,0.004,0.003,0.003,-758.99,-664.85,,False
"51: Double EITC for Workers without Qualifying Children to $1,075",0.0005,0.0005,6035,0.0005,0.01,0.001,0.0,0.0,-35.52,-34.32,,False
"52: Reform the EITC for Married and Unmarried Workers, with and without Children",0.001,0.001,96644,0.0,0.031,0.001,0.001,0.001,-164.04,-105.71,,False
54: Make Child Tax Credit First Dollar Refundable,-0.0005,-0.0005,-14698,-0.0005,0.02,0.001,0.0,0.0,-37.0,-43.9,,False
55: Restructure the Child Tax Credit and Earned Income Tax Credit,0.001,0.001,86986,-0.0005,0.033,0.023,0.006,0.001,-1414.4,-1379.0,,False
56: Increase the Standard Deduction by 25% for All Filing Groups,0.0005,0.001,69883,-0.0005,0.001,0.007,0.001,0.0,-622.66,-558.51,,False
"S1: Free, universal pre-kindergarten for all three- and four-year olds",0.009,0.0,0,0.0,0.0,0.0,0.0,0.0,-200.0,-200.0,,False
S2: Tuition-free two-year community college,0.011,0.0,0,0.0,0.0,0.0,0.0,0.0,-109.0,-109.0,,False
S3: Increase Pell Grants for low-income students,0.013,0.0,0,0.0,0.0,0.0,0.0,0.0,-80.0,-80.0,,False
S4: Increase funding for community colleges,0.002,0.0,0,0.0,0.0,0.0,0.0,0.0,-62.0,-62.0,,False
"S5: Two-years of subsidized tuition for students from families earning less than $125,000 enrolled in a four-year HBCU, TCU, or MSI",0.0005,0.0,0,0.0,0.0,0.0,0.0,0.0,-39.0,-39.0,,False
"S6: Train, equip, and diversify American teachers",0.0005,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,,False
"S7: Increase institutional aid grants to HBCUs, TCUs, and MSIs",0.005,0.0,0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,,False
