Option,Long-Run Change in GDP,Capital Stock,Full-Time Equivalent Jobs,Wage Rate,P20,P40-60,P80-100,P99,Static 10-Year Revenue (billions),Dynamic 10-Year Revenue (billions),Y to select,is_NS
2: Lower the Top Marginal Income Tax Rate (25% Top Rate),0.011,0.003,1033707,0.002,0.002,0.002,0.008,0.023,-2209.23,-1673.87,,False
"3: Consolidate Current Brackets into Three: 10 percent, 25 percent, and 35 percent",0.013,0.014,1336191,0.001,0.01,0.024,0.039,0.054,-2694.5,-2167.24,,False
5: Lower the Top Rate on Capital Gains and Dividends to 15 Percent,0.0005,0.0005,6526,0.0005,0.0,0.0,0.002,0.006,-151.11,-148.73,,False
6: Index Capital Gains Realizations to Inflation,0.0005,0.001,8615,0.0005,0.0005,0.001,0.002,0.003,-143.65,-143.4,,False
8: Implement Neutral Cost Recovery for Structures,0.012,0.023,230766,0.01,0.011,0.011,0.015,0.021,-10.35,300.98,,False
9: Cancel the Amortization of Research and Development Expenses,0.001,0.002,19550,0.001,0.001,0.001,0.001,0.002,-131.3,-107.9,,False
11: Lower the Corporate Tax Rate (Lower to 15%),0.005,0.01,100937,0.004,0.012,0.011,0.017,0.026,-978.94,-847.71,,False
"52: Reform the EITC for Married and Unmarried Workers, with and without Children",0.001,0.001,96644,0.0,0.031,0.001,0.001,0.001,-164.04,-105.71,,False
"S1: Free, universal pre-kindergarten for all three- and four-year olds",0.009,0.0,0,0.0,0.0,0.0,0.0,0.0,-200.0,-200.0,,False
S2: Tuition-free two-year community college,0.011,0.0,0,0.0,0.0,0.0,0.0,0.0,-109.0,-109.0,,False
S3: Increase Pell Grants for low-income students,0.013,0.0,0,0.0,0.0,0.0,0.0,0.0,-80.0,-80.0,,False
S4: Increase funding for community colleges,0.002,0.0,0,0.0,0.0,0.0,0.0,0.0,-62.0,-62.0,,False
"S6: Train, equip, and diversify American teachers",0.0005,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.0,-9.0,,False
"S7: Increase institutional aid grants to HBCUs, TCUs, and MSIs",0.005,0.0,0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,,False
"S8: Make child care more affordable, invest in high-quality care, and fund training for child care providers",0.012,0.0,0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,,False
S10: Expand summer Electronic Benefits Transfer to all eligible children nationwide,0.002,0.0,0,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,,False
S11: Expand free meals for children in the highest poverty districts,0.005,0.0,0,0.0,0.0,0.0,0.0,0.0,-17.0,-17.0,,False
S12: Facilitate re-entry for formerly incarcerated individuals through Supplemental Nutritional Assistance Program (SNAP) eligibility,0.0005,0.0,0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,,False
S17: Cancel student loan debt relief (Biden executive action),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,400.0,400.0,,False
NS1B: Increase by 50% funds dedicated to Europe & NATO (including Ukraine),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-500.0,-500.0,,True
NS2A: Double funds dedicated to the Middle East (including Iran & Israel),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1000.0,-1000.0,,True
NS3A: Double funds dedicated to the Indo-Pacific (including Taiwan),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1000.0,-1000.0,,True
NS5B: Increase by 50% funds dedicated to advanced national security technology,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-500.0,-500.0,,True
NS6B: Allocate $45B / year new funds dedicated to economic statecraft,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-500.0,-500.0,,True
15: Repeal the Tax Cuts and Jobs Act (TCJA) Individual Tax Changes,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,829.72,648.75,,False
"16: Revert to Pre-2018 Individual Income Tax Rates on Income Over $400,000",-0.0005,0.0,0,0.0005,0.0,0.0,0.0,0.0,107.29,85.43,,False
18: Create an Additional Flat Individual Income Tax of 5%,-0.021,-0.023,-2220324,-0.001,-0.017,-0.044,-0.064,-0.076,6485.0,5007.21,,False
19: Eliminate the Child Tax Credit,0.001,0.001,99527,0.0005,-0.031,-0.008,0.001,0.001,890.72,917.22,,False
25: Eliminate the Charitable Deduction,-0.001,-0.002,-90202,-0.0005,-0.001,-0.002,-0.009,-0.014,747.4,694.52,,False
27: Eliminate the Tax Exclusion for Municipal Bond Interest,-0.0005,-0.0005,-11152,-0.0005,-0.0005,-0.0005,-0.003,-0.006,192.84,191.84,,False
38: Eliminate the Section 199A Deduction,-0.0005,0.0,0,0.0005,0.0,0.0,0.0,0.0,208.23,200.28,,False
39: Require Amortization of Advertising Expenses over 10 Years,-0.001,-0.003,-18199,-0.001,-0.002,-0.002,-0.003,-0.005,226.5,206.4,,False
44: Return the Estate Tax to Clinton-era Levels,-0.002,-0.006,-41415,-0.002,-0.002,-0.002,-0.017,-0.055,887.4,823.9,,False
48: Increase the Gas Tax by 35 Cents Per Gallon and Inflation Adjust Going Forward,-0.001,-0.001,-103204,-0.005,-0.005,-0.004,-0.004,-0.003,758.34,653.12,,False
61: Permanently Eliminate the Pease Limitation on Itemized Deductions,0.001,0.001,77730,0.0005,0.001,0.001,0.004,0.01,-160.83,-125.58,,False
"63: Implement $2,500 per Year Roth-style Universal Savings Accounts",0.0,0.0005,748,0.0,0.0,0.0,0.0,0.0005,-15.08,-14.99,,False
65: Enact Full Expensing for All Capital Investment,0.023,0.043,441769,0.019,0.021,0.022,0.029,0.043,-1707.41,-1166.66,,False
66: Maintain Limitation on Interest Deductibility at 30 Percent of EBITDA,0.001,0.002,18832,0.001,0.001,0.001,0.001,0.001,-65.84,-45.9,,False
67: Eliminate Various Business Tax Expenditures,-0.002,-0.004,-33000,-0.002,-0.011,-0.01,-0.018,-0.031,985.6,926.43,,False
70: Increase Alcohol Excise Taxes to $16 per Proof Gallon and Index to Inflation,-0.0005,-0.0005,-22718,-0.001,-0.001,-0.001,-0.001,-0.0005,136.07,129.14,,False
